PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_NAME,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
175,31,93,"Govt Polytechnic Institute (Boys), Korangi 5 1/2 near 4 poll (Male)-l",1865,Muhammad Javaid Hanif (MQM),1582,25,1825,97.85523,625,33.51206,1200
234,3,94,"Workers Model School, labour Square, Korangi (Female)-I",1424,Muhammad Javaid Hanif (MQM),1131,68,1393,97.82303,393,27.59831,1000
120,120,92,Taj Terbiyat Project PrivateSchool 4/C Block 3 (Combined)-I,1829,Muhammad Javaid Hanif (MQM),1444,45,1788,97.75834,493,26.95462,1295
274,121,94,DMC Elementary Collage Korangl No.5 Opposite Memon Technical Institute (Male)-II,2965,Muhammad Javaid Hanif (MQM),1918,471,2897,97.70658,1109,37.40304,1788
93,93,92,Baldia Govt Girls Secondary School 36/B landhl (Combined)-III,2050,Muhammad Javaid Hanif (MQM),1693,7,1996,97.36585,800,39.02439,1196
218,97,93,GBPS (KTS-7) Korangi 4 (Male),1886,Muhammad Javaid Hanif (MQM),1582,16,1834,97.24284,624,33.08590,1210
257,26,94,"Workers Model School, labour Square, Korangi (Combined)-II",1607,Muhammad Javaid Hanif (MQM),1099,81,1562,97.19975,651,40.51027,911
98,98,92,Govt.Girls Secondary School Landhi 1/2 (FeMale)-1,1960,Muhammad Javaid Hanif (MQM),1642,27,1903,97.09184,503,25.66327,1400
32,32,92,GC Yemment Boys Secondary School No. 5 IJAU WAI.Al Landhl No 3 (Combined,2394,Muhammad Javaid Hanif (MQM),1949,31,2323,97.03425,820,34.25230,1503
118,118,92,Baldia GBSS J Area Korangl (male}-I,1539,Muhammad Javaid Hanif (MQM),1297,62,1493,97.01105,686,44.57440,807
200,56,93,GUBPS 50/A Korangl (FeMale)-I,992,Muhammad Javaid Hanif (MQM),739,40,961,96.87500,361,36.39113,600
280,81,96,Hilal-e-Pakistan Secondarv School (Combined)-I,3287,Muhammad Javaid Hanif (MQM),2729,47,3181,96.77517,779,23.69942,2402
3,3,92,Baldia Government Boys secondary School C/1 Landhl No 3 (Combined)-II,1953,Muhammad Javaid Hanif (MQM),1603,19,1884,96.46697,581,29.74910,1303
14,14,92,OMCMuhammad Ali Jinnah Model Noor Manzll 32 l.andhl(Male),2274,Muhammad Javaid Hanif (MQM),1763,25,2193,96.43799,901,39.62181,1292
202,58,93,The Faran Hlgh School Sector 50/C (Comblned)-I,2056,Muhammad Javaid Hanif (MQM),1569,96,1981,96.35214,358,17.41245,1623
114,114,92,GGPS No.  7 Korangi No. 6 (Combined)-!,1817,Muhammad Javaid Hanif (MQM),1583,5,1750,96.31260,472,25.97688,1278
90,90,92,Government Inter Boys Colleee 36'/'B landhi (Female)-1,1918,Muhammad Javaid Hanif (MQM),1554,37,1847,96.29823,548,28.57143,1299
95,95,92,Government Boys Primary School No 11 landhi 36/D(Male)-1,2395,Muhammad Javaid Hanif (MQM),1688,26,2305,96.24217,1005,41.96242,1300
221,100,93,GBPS (KTS-7) Korangi 4 (Female)-II,1557,Muhammad Javaid Hanif (MQM),1225,70,1498,96.21066,394,25.30507,1104
286,87,96,Ali MODEL ENGLISH SCHOOL AWAMI COLONY (Combined)-I,1689,Muhammad Javaid Hanif (MQM),1140,26,1624,96.15157,768,45.47069,856
226,105,93,Govt. Boys Degree Collage Korangi No. 06 (Female)-I,1327,Muhammad Javaid Hanif (MQM),1134,60,1272,95.85531,272,20.49736,1000
184,40,93,GGSS (G10) Korangii 100- Quarters (Combined)-II,1917,Muhammad Javaid Hanif (MQM),1461,46,1830,95.46166,732,38.18466,1098
151,7,93,GBSS No. 3 51/B  Korangi 6 Campus (Male)-IV,1744,Muhammad Javaid Hanif (MQM),1261,86,1664,95.41284,765,43.86468,899
233,2,94,"Workers Model School, labour Square, Korangi (Male)-I",1606,Muhammad Javaid Hanif (MQM),1273,23,1530,95.26775,691,43.02615,839
58,58,92,Govt. Boys science College 36/B zamanabad Landhi (Combined)-I,1834,Muhammad Javaid Hanif (MQM),1444,98,1746,95.20174,649,35.38713,1097
284,85,96,GBPS FRIENDS OF EDUCATION SCHOOL AWAMI (Combined)-I,3224,Muhammad Javaid Hanif (MQM),2517,26,3068,95.16129,1173,36.38337,1895
129,129,92,Al Farooq School near shahi Masjid Landhi No. 6 (Female),1679,Muhammad Javaid Hanif (MQM),1352,41,1595,94.99702,495,29.48183,1100
73,73,92,Baldia Boys'Girls Secondary School.Social Ground Landhi No. 6 (Male)-1,2012,Muhammad Javaid Hanif (MQM),1587,60,1911,94.98012,711,35.33797,1200
46,46,92,Bldia Boys pre school Rsc 27 / 28 Ajmer colony (combined)-II,1444,Muhammad Javaid Hanif (MQM),1096,46,1369,94.80609,469,32.47922,900
256,25,94,"Workers Model School, labour Square, Korangi (Combined)-I",1445,Muhammad Javaid Hanif (MQM),943,68,1365,94.46367,569,39.37716,796
187,43,93,GGSS (G10) Korangii 100- Quarters (Combined)-v,1787,Muhammad Javaid Hanif (MQM),1442,7,1688,94.45999,595,33.29603,1093
52,52,92,Govt Boys Primary School No. 1 Bagh wala Landhi 2 / B Area (Combined)-II,2059,Muhammad Javaid Hanif (MQM),1350,255,1943,94.36620,672,32.63720,1271
225,104,93,Govt. Boys Degree Collage Korangi No. 06 (Male)-I,1696,Muhammad Javaid Hanif (MQM),1387,57,1599,94.28066,599,35.31840,1000
6,6,92,Government Boys Primary School No. 13 Area 1/0 Landhi Near Christian Colony (Combined)-I,2094,Muhammad Javaid Hanif (MQM),1710,68,1969,94.03056,783,37.39255,1186
220,99,93,GBPS (KTS-7) Korangi 4 (Male)-I,1703,Muhammad Javaid Hanif (MQM),1273,31,1592,93.48209,689,40.45802,903
281,82,96,Hilal-e-Pakistan Secondarv School (Combined)-II,1528,Muhammad Javaid Hanif (MQM),1019,53,1427,93.39005,627,41.03403,800
44,44,92,Govt.Protect Landhi-1 (Combined)-I,1302,Muhammad Javaid Hanif (MQM),881,3,1204,92.47312,482,37.01997,722
176,32,93,"Govt Polytechnic Institute (Boys), Korangi 5 1/2 near 4 poll (FeMale)-l",1425,Muhammad Javaid Hanif (MQM),1134,22,1309,91.85965,308,21.61404,1001
157,13,93,GGSS No. 1 Korangi No. 6 (FeMale)-I,1615,Muhammad Javaid Hanif (MQM),1323,47,1479,91.57895,379,23.46749,1100
112,112,92,Asif Government Boys Secondary School 36-B Landhi (Female}-I,1440,Muhammad Javaid Hanif (MQM),950,119,1278,88.75000,388,26.94444,890
81,81,92,"DMC Muhammad Ali Jinnah Model School 36'/""B Landhi Zamanabad (Combined)-I",1402,Muhammad Javaid Hanif (MQM),923,79,1240,88.44508,540,38.51641,700
182,38,93,DMC School No 21/22 Korangl 5 1/2 (Combined)-II,2482,Muhammad Javaid Hanif (MQM),1891,18,2113,85.13296,930,37.46978,1183
16,16,92,Baldla Primary School Noor Manzll landhl NO 1 (Male),1747,Muhammad Haris (PTI),105,211,1447,82.82770,742,42.47281,705
191,47,93,TCF School Korangl Coast Guard (Combined)-I,2260,Muhammad Javaid Hanif (MQM),1438,15,1858,82.21239,1265,55.97345,593
87,87,92,Shaheen Secondary School 36/B Landhl (Male}-1,2359,Muhammad Javaid Hanif (MQM),1140,26,1624,68.84273,767,32.51378,857
204,60,93,The Fast  Educator School (Combined)-I,1278,Muhammad Javaid Hanif (MQM),400,185,828,64.78873,438,34.27230,390
271,118,94,DMC Elementary Collage Korangl No.5 Opposite Memon Technical Institute (Female)-I,1161,Muhammad Javaid Hanif (MQM),302,298,688,59.25926,323,27.82084,365
78,78,92,Mlllat Secondary School Area SC Landhl No. 6 (Combined),1946,Muhammad Javaid Hanif (MQM),650,300,1132,58.17061,463,23.79239,669
216,72,93,Cost Guard Public School Korangi (Male)-I,1861,Muhammad Haris (PTI),123,239,1028,55.23912,1028,55.23912,0
287,88,96,The Real Academy (Combined)-I,1533,Muhammad Haris (PTI),76,125,816,53.22896,817,53.29419,1
54,54,92,"Iqbal Boys Govt. Secondary School, 2-c (Male)-I",2050,Muhammad Haris (PTI),109,264,1024,49.95122,1017,49.60976,7
51,51,92,Govt Boys Primary School No. 1 Bagh wala Landhi 2 / B Area (Combined)-I,2225,Muhammad Javaid Hanif (MQM),473,287,1111,49.93258,694,31.19101,417
224,103,93,Muhammad Ali Jinnah English Medium School No.64 DMC campus VII F/Area (Combined)-II,1137,Muhammad Haris (PTI),183,198,567,49.86807,565,49.69217,2
279,80,96,The Exhort School and Collaglate (Combined)-I,902,Muhammad Javaid Hanif (MQM),212,125,449,49.77827,182,20.17738,267
248,17,94,GBSS KTS No. 13 Khaddi Stop (Male)-I,2652,Muhammad Haris (PTI),57,805,1306,49.24585,1306,49.24585,0
217,73,93,Cost Guard Public School Korangi (Female)-I,1370,Muhammad Haris (PTI),58,151,663,48.39416,663,48.39416,0
199,55,93,GUBPS 50/A Korangl (Male)-I,1373,Muhammad Haris (PTI),96,258,657,47.85142,657,47.85142,0
253,22,94,Shaan Grammer School Zaman Town Korangi (Combined)-II,1168,Muhammad Haris (PTI),20,163,558,47.77397,558,47.77397,0
254,23,94,GBSS KTS No. 13 Khaddi Stop (Male)-II,2596,Muhammad Haris (PTI),83,459,1229,47.34206,1229,47.34206,0
270,117,94,DMC Elementary Collage Korangl No.5 Opposite Memon Technical Institute (Male)-I,1384,Muhammad Haris (PTI),69,262,642,46.38728,642,46.38728,0
26,26,92,Gowrnment Boys hiSh SchoolNo. 7 ArH  37-0 (Female,1994,Muhammad Haris (PTI),65,410,923,46.28887,923,46.28887,0
91,91,92,Baldia Govt Girls Secondary School 36/B landhl (Combined),1828,Muhammad Javaid Hanif (MQM),543,38,846,46.28009,541,29.59519,305
223,102,93,Khan Academy English C Area 5 1/2 (Combined)-I,2152,Muhammad Haris (PTI),317,363,995,46.23606,794,36.89591,201
125,125,92,Goverment Boys Primary School 36/C Landhl 6 (male),1758,Muhammad Haris (PTI),106,252,812,46.18885,809,46.01820,3
128,128,92,SV Memorial (PVT) 4D Landhl No.6 (Male)-l,2124,Muhammad Haris (PTI),103,452,980,46.13936,980,46.13936,0
201,57,93,GUBPS 50/A Korangl (Combined)-I,1997,Muhammad Haris (PTI),64,360,915,45.81873,915,45.81873,0
111,111,92,Asif Government Boys Secondary School 36-8 Landhl (Male)-I,1795,Muhammad Haris (PTI),96,214,811,45.18106,817,45.51532,6
141,141,92,Government Girls Lower Secondary School No. 5 K Area Korangi (Male)-I,1875,Muhammad Haris (PTI),38,385,847,45.17333,846,45.12000,1
250,19,94,KMC School RSK 17 Korangi Khaddi Area (Male)-I,2172,Muhammad Haris (PTI),130,325,980,45.11971,980,45.11971,0
137,137,92,Apwa Government Boys Secondary School J/1 Area (Comblned),1747,Muhammad Haris (PTI),30,283,775,44.36176,776,44.41900,1
215,71,93,Al-fayyaz. English (Cost Guard) (Comblned)-II,1634,Muhammad Haris (PTI),13,122,713,43.63525,708,43.32925,5
258,27,94,GBSS KTS No. 3 Sector 34/3 (Combined)-I,2340,Muhammad Haris (PTI),89,319,1019,43.54701,941,40.21368,78
239,8,94,Sarfraz Camrbridge secondry School (Combined)-I,1746,Muhammad Haris (PTI),32,383,754,43.18442,754,43.18442,0
198,54,93,Jinnah Academy Ghous Pak Road (Combined)-I,1535,Muhammad Haris (PTI),54,345,658,42.86645,658,42.86645,0
28,28,92,Gowrnment Boys hlch School No. 7 ArH 37-0 (Combined,1483,Muhammad Haris (PTI),42,336,635,42.81861,436,29.39987,199
192,48,93,"Star Public Sec. School 50/A, Korangii (Combined)-I",1962,Muhammad Haris (PTI),256,318,840,42.81346,637,32.46687,203
59,59,92,DMC Muhammad Ali Jinnah Model School 2B Landhi (Male)-I,2243,Muhammad Haris (PTI),128,258,959,42.75524,959,42.75524,0
56,56,92,Govt. Boys science College 36/B zamanabad Landhi (Male)-I,1515,Muhammad Haris (PTI),72,199,645,42.57426,646,42.64026,1
89,89,92,Government Inter Boys Colleee 36/B landhi (Male)-1,2235,Muhammad Haris (PTI),97,319,943,42.19239,943,42.19239,0
246,15,94,GBSS No. 1 Korangi 4 (Male)-I,2260,Muhammad Haris (PTI),33,471,951,42.07965,946,41.85841,5
167,23,93,GBPS KTS 1  Korangi 5 1/2    (Male)-I,1839,Muhammad Haris (PTI),111,296,772,41.97934,772,41.97934,0
69,69,92,GBPS NO.4 Landhi No.5 (Male)-II,1751,Muhammad Haris (PTI),94,212,735,41.97601,735,41.97601,0
235,4,94,GBPS 35/ A Zaman Town Korangi(Male}-I,2540,Muhammad Haris (PTI),101,365,1066,41.96850,1066,41.96850,0
193,49,93,Pak Foundation School 50/A. Korangl (Male)-I,1501,Muhammad Haris (PTI),52,320,627,41.77215,625,41.63891,2
21,21,92,Govt.Girls Secondary School NO 1 landhlNo.1 (Male),880,Muhammad Haris (PTI),36,106,366,41.59091,366,41.59091,0
213,69,93,GGPS Qayyum Abad sector 48/f korangi2  1/2 OppCost Guard (Combined)-I,1788,Muhammad Javaid Hanif (MQM),237,113,743,41.55481,736,41.16331,7
267,36,94,Nimbus School Korangi No.2 1/2 (Combined)-I,1166,Muhammad Haris (PTI),37,189,484,41.50943,484,41.50943,0
244,13,94,GGSS No. 4 Korangi 3-1/2 (Male)-II,2712,Muhammad Haris (PTI),44,480,1121,41.33481,1090,40.19174,31
179,35,93,"GUBSS KTS N0.10, Korangl 5 1/2 G Market (Male)-I",1644,Muhammad Haris (PTI),68,326,678,41.24088,678,41.24088,0
110,110,92,Govemment Girls Secondary School No. 1 K Area Koning! (Comblned)-III,2392,Muhammad Haris (PTI),64,381,985,41.17893,985,41.17893,0
18,18,92,Taj Unique School System campus 2 Bhutto Nacar (Combined),2521,Muhammad Javaid Hanif (MQM),832,42,1038,41.17414,550,21.81674,488
37,37,92,"Govt polytethec institute (For Women) babar market, landhi (combined)-I",1492,Muhammad Haris (PTI),172,219,610,40.88472,512,34.31635,98
34,34,92,DMC Muhammad Ali Jinnah Model School Campus 3 (N-     Jali Wala School) (Combined,1591,Muhammad Haris (PTI),58,227,645,40.54054,645,40.54054,0
133,133,92,DMC Girls Secondary School SS/3 Area 40 landhi (Rasheedeea) (Male),1480,Muhammad Haris (PTI),126,211,600,40.54054,600,40.54054,0
67,67,92,GBPS NO.4 Landhi No.5 (Male)-I,2381,Muhammad Haris (PTI),116,345,961,40.36119,956,40.15120,5
38,38,92,"Govt polytethec institute (For Women) babar market, landhi (combined)-II",1444,Muhammad Haris (PTI),174,200,581,40.23546,481,33.31025,100
117,117,92,GGPS No. 7 Korangl No. 6 (Combined}-IV,2132,Muhammad Haris (PTI),27,476,857,40.19700,833,39.07129,24
97,97,92,Govt.Girls Secondary School Landhi 1/2 (Male)-1,2349,Muhammad Haris (PTI),86,311,938,39.93189,927,39.46360,11
252,21,94,Shaan Grammer School Zaman Town Korangi (Combined)-I,1210,Muhammad Haris (PTI),23,109,482,39.83471,482,39.83471,0
139,139,92,Government Girls Primarv School No. 5 K Area Korangi (Male)-I,2202,Muhammad Haris (PTI),82,435,877,39.82743,874,39.69119,3
181,37,93,DMC School No 21/22 Korangl 5 1/2 (Combined)-I,2042,Muhammad Haris (PTI),160,253,813,39.81391,813,39.81391,0
86,86,92,Government Girls Secondary School 36/B landhi(Combined)-lV,2151,Muhammad Haris (PTI),115,266,855,39.74895,873,40.58577,18
197,53,93,GUBPS KTS-17 Madina Colony (Combined)-I,1316,Muhammad Haris (PTI),31,161,522,39.66565,522,39.66565,0
143,143,92,Government Girls Primarv School No. 5 K Area Korangi (Combined)-I,1791,Muhammad Haris (PTI),38,365,710,39.64266,710,39.64266,0
61,61,92,Govt Boys Primary School 5/D Landhi No.6 (Male)-I,2513,Muhammad Haris (PTI),79,317,995,39.59411,994,39.55432,1
47,47,92,Bldia Boys pre school Rsc 37 / 38 Ajmer colony (combined)-III,2276,Muhammad Haris (PTI),109,468,899,39.49912,889,39.05975,10
177,33,93,"GBSS KTS N0.10, Korangl 5 1/2 G Market (Male)-I",1911,Muhammad Haris (PTI),94,332,754,39.45578,579,30.29827,175
262,31,94,Govt. Boys Degree Collage Korangi No. 02 1/2 (Combined)-III,1350,Muhammad Haris (PTI),40,216,531,39.33333,530,39.25926,1
205,61,93,Tayyaba School Sector 51/8 (Combined)-II,1100,Muhammad Haris (PTI),61,259,432,39.27273,432,39.27273,0
4,4,92,GOVT BOYS PRIMARY SCHOOL C/1 LANDHI (Male)-I,2389,Muhammad Haris (PTI),100,276,938,39.26329,951,39.80745,13
50,50,92,DMC school No. 35/36 Shah khalid colony Landhi (tezgam) (Combined)-I,2076,Muhammad Haris (PTI),87,257,810,39.01734,811,39.06551,1
156,12,93,GGSS No. 1 Korangi No. 6 (Male)-I,2078,Muhammad Haris (PTI),75,424,808,38.88354,808,38.88354,0
131,131,92,DMC Girls Secondary School SS/3 Area 40 landhi (Rasheedeea) (Combined),1257,Muhammad Haris (PTI),127,150,487,38.74304,487,38.74304,0
103,103,92,Rabnawaz English Grammer Secondary (Private School) 36 G Shareef Colony (Combined)-I,1857,Muhammad Haris (PTI),36,138,718,38.66451,726,39.09532,8
12,12,92,Baldia Primary School Noor Manzi! Landhi school No.132 (Male),2264,Muhammad Haris (PTI),152,275,873,38.56007,869,38.38339,4
240,9,94,Govt. Boys Primary School 35/C Korangi No3 1/2 (Male)-I,2169,Muhammad Haris (PTI),41,421,836,38.54311,831,38.31259,5
158,14,93,GGSS No. 1 Korangi No. 6 (Male)-II,2029,Muhammad Haris (PTI),67,399,782,38.54115,782,38.54115,0
29,29,92,"GOYemment Boys Prlm,,ry School No. 9 Landhi(Combined",2133,Muhammad Haris (PTI),107,299,819,38.39662,819,38.39662,0
104,104,92,GBHSS No.  2 K Area Korangi (Comblned)-I,2207,Muhammad Haris (PTI),57,251,846,38.33258,846,38.33258,0
43,43,92,Govt. Boys Primary school no.5 Jali wala school landhi no. 3 (Combined)-II,2091,Muhammad Haris (PTI),86,247,801,38.30703,800,38.25921,1
272,119,94,APWA Govemment Girls Secondary School Korangi N0.5 (Male)-I,1726,Muhammad Haris (PTI),130,226,660,38.23870,646,37.42758,14
102,102,92,Govermment Boys Primary School 36--G Sahreef Colony (Combinied)-l,2791,Muhammad Haris (PTI),46,188,1062,38.05088,866,31.02831,196
36,36,92,Government Girls Oas- Co11ege landhl No. 31 (2  (Mariam College) (Combined)-II,2276,Muhammad Haris (PTI),93,250,865,38.00527,867,38.09315,2
203,59,93,UN Academy 50/C (Combined)-I,2566,Muhammad Haris (PTI),30,235,975,37.99688,1087,42.36165,112
242,11,94,GGSS No. 4 Korangi 3-1/2 (Male)-I,2291,Muhammad Haris (PTI),41,419,869,37.93103,869,37.93103,0
160,16,93,GGSS No. 2 Korangi No. 6 (Male)-I,1518,Muhammad Haris (PTI),49,237,573,37.74704,573,37.74704,0
211,67,93,GBPS KTS NO.19 (Male)-I,1498,Muhammad Javaid Hanif (MQM),107,103,565,37.71696,567,37.85047,2
84,84,92,Government Giru Secondary School 36/8 Landhl (Comblned)-II,1499,Muhammad Haris (PTI),109,201,565,37.69179,553,36.89126,12
63,63,92,Govt Boys Secondary School No 2 Landhi No 5 (Gosht Market School)(Male)-I,2412,Muhammad Haris (PTI),58,298,908,37.64511,908,37.64511,0
130,130,92,Govt.Baldia Girls Secondary School 4/D landhi No.6 (Combined),1171,Muhammad Haris (PTI),84,166,440,37.57472,444,37.91631,4
30,30,92,Millat lslamla Girls High School 37-0 Landhi (Combined,2204,Muhammad Haris (PTI),104,440,825,37.43194,823,37.34120,2
85,85,92,Government Girls Secondary School 36/8 Landhl (Combined}-111,1991,Muhammad Haris (PTI),94,241,737,37.01657,727,36.51431,10
162,18,93,Tayyaba School Sector 51-8 (Combined)-l,1578,Muhammad Haris (PTI),51,278,580,36.75539,542,34.34728,38
263,32,94,Govt. Boys Degree Collage Korangi No. 02 1/2 (Combined)-IV,1997,Muhammad Haris (PTI),43,317,734,36.75513,733,36.70506,1
121,121,92,Shameem Memorial Academy 36/C landhi (Combined)-I,617,Muhammad Haris (PTI),16,88,226,36.62885,226,36.62885,0
42,42,92,Govt. Boys Primary school no.5 Jali wala school landhi no. 3 (Combined)-I,1574,Muhammad Haris (PTI),56,197,575,36.53113,575,36.53113,0
53,53,92,Govt Girls Primary School No. 2 Bagh wala Landhi 1 / 2 (near Bagh Wala) (Combined)-I,1963,Muhammad Haris (PTI),95,255,717,36.52573,717,36.52573,0
195,51,93,Afkaar English High School (Combined)-I,1553,Muhammad Haris (PTI),2,319,566,36.44559,628,40.43786,62
165,21,93,GBSS KTS 1  Korangi 5 1/2    (Male)-II,2128,Muhammad Haris (PTI),108,305,773,36.32519,800,37.59398,27
163,19,93,GBSS KTS 1  Korangi 5 1/2    (Male)-I,2177,Muhammad Haris (PTI),102,357,786,36.10473,778,35.73725,8
65,65,92,Govt Boys Secondary School No 2 Landhi No 5 (Gosht Market School)(Male)-II,2578,Muhammad Haris (PTI),86,361,927,35.95811,924,35.84174,3
183,39,93,GGSS (G10) Korangii 100- Quarters (Combined)-I,2126,Muhammad Haris (PTI),123,299,762,35.84196,762,35.84196,0
40,40,92,"Govt polytethec institute (For Boys) babar market, landhi (combined)-I",1554,Muhammad Haris (PTI),72,283,556,35.77864,556,35.77864,0
238,7,94,GBPS 35/A Zaman Town Korangi (Combined}-I,1445,Muhammad Haris (PTI),22,223,517,35.77855,517,35.77855,0
79,79,92,"DMC Muhammad Ali Jinnah Model School 36'/""8 Landhi Zamanabad (Male)",1719,Muhammad Haris (PTI),47,219,614,35.71844,617,35.89296,3
99,99,92,DMC School No. 59 Shareef Colony (Comblned)-I,1785,Muhammad Haris (PTI),35,160,637,35.68627,637,35.68627,0
1,1,92,1 GBSS NA Abbassi (Combined)-I,2279,Muhammad Haris (PTI),62,348,811,35.58578,811,35.58578,0
39,39,92,"Govt polytethec institute (For Women) babar market, landhi (combined)-III",2395,Muhammad Haris (PTI),225,306,852,35.57411,752,31.39875,100
136,136,92,Baldia Muhammad All Jinnah RSL 66/67 K Area (Combined)-II,1036,Muhammad Haris (PTI),28,190,366,35.32819,386,37.25869,20
123,123,92,Goverment Boys Primary School KTS No. 9 Korangi No. 6 (Male)-l,2758,Muhammad Javaid Hanif (MQM),154,58,973,35.27919,566,20.52212,407
48,48,92,Bldia Boys pre school Rsc 37 / 38 Ajmer colony (combined)-IV,1724,Muhammad Javaid Hanif (MQM),175,147,608,35.26682,602,34.91879,6
33,33,92,OMC Muhammad Ali Jinnah Model School Campus 3 (NNr Jali Wala School) (Combined,2204,Muhammad Haris (PTI),86,248,777,35.25408,777,35.25408,0
35,35,92,Government Girls Oas- Co11ege landhl No. 31 (2  (Mariam College) (Combined)-,1987,Muhammad Haris (PTI),71,226,699,35.17866,699,35.17866,0
41,41,92,"Govt polytethec institute (For Boys) babar market, landhi (combined)-II",1953,Muhammad Haris (PTI),39,257,687,35.17665,687,35.17665,0
71,71,92,Govt. Boys Primary Gujrati School Landhi No 5 /2 (Combined)-I,1682,Muhammad Haris (PTI),97,205,591,35.13674,591,35.13674,0
189,45,93,DMC School No 19 / 20 Korangl 5 1/2 (Combined)-II,1843,Muhammad Haris (PTI),89,281,646,35.05155,646,35.05155,0
115,115,92,GGPS No. 7 Korangi No. 6 (Combined)-11,2387,Muhammad Haris (PTI),69,354,827,34.64600,834,34.93925,7
94,94,92,Baldia Govt Girls Secondary School 36/B landhl (Combined)-IV,2300,Muhammad Haris (PTI),72,347,795,34.56522,795,34.56522,0
83,83,92,"Government Girls Secondary School 36'/""B Landhi (Combined)-I",2022,Muhammad Haris (PTI),58,391,697,34.47082,699,34.56973,2
100,100,92,Govermment Boys Primary School 36--G Sahreef Colony (Male)-l,2419,Muhammad Haris (PTI),67,223,832,34.39438,836,34.55974,4
7,7,92,Govt. boys Secondary School Paris Mill Landhi (Male)-I,2088,Muhammad Haris (PTI),96,255,716,34.29119,716,34.29119,0
265,34,94,Al 5aher Acadamey O Area Korangi No. 3 {Combined)-I,1333,Muhammad Haris (PTI),43,157,456,34.20855,456,34.20855,0
266,35,94,Pakistan Foundation School O Area plot 7 and 8 Korangl No. 3 (Combined)-I,2007,Muhammad Haris (PTI),44,183,685,34.13054,685,34.13054,0
55,55,92,"Iqbal Boys Govt. Secondary School, 2-c (Male)-II",1674,Muhammad Haris (PTI),39,201,569,33.99044,569,33.99044,0
77,77,92,Baldia Boys'Girls Secondary School.Social Ground Landhi No. 6 (Combined)-I,1763,Muhammad Haris (PTI),71,185,599,33.97618,599,33.97618,0
268,37,94,Rose Heaven School 0 Area Korangi No 3 (Combined)-I,1714,Muhammad Haris (PTI),41,197,579,33.78063,579,33.78063,0
222,101,93,Muhammad Ali Jinnah English Medium School No.64 DMC campus VII F/Area (Combined)-I,2110,Muhammad Haris (PTI),87,282,708,33.55450,897,42.51185,189
